Semilla,Algoritmo,Tipo de lista,Longitud,Categorías o Proporción desorden,Tiempo
320,pivotear,Aleatoria,1000,5,0.001
320,pivotear,Aleatoria,1000,10,0.0
320,pivotear,Aleatoria,1000,15,0.001
320,pivotear,Aleatoria,1000,20,0.0
320,pivotear,Aleatoria,1000,25,0.0
320,pivotear,Aleatoria,1000,30,0.001
320,pivotear,Aleatoria,1000,35,0.001
320,pivotear,Aleatoria,1000,40,0.0
320,pivotear,Aleatoria,1000,45,0.001
320,pivotear,Aleatoria,1000,50,0.001
320,pivotear,Casi ordenada,1000,0.1,0.001
320,pivotear,Casi ordenada,1000,0.2,0.001
320,pivotear,Casi ordenada,1000,0.3,0.001
320,pivotear,Casi ordenada,1000,0.4,0.002
320,pivotear,Casi ordenada,1000,0.5,0.001
320,pivotear,Casi ordenada,1000,0.6,0.001
320,pivotear,Casi ordenada,1000,0.7,0.001
320,pivotear,Casi ordenada,1000,0.799,0.001
320,pivotear,Casi ordenada,1000,0.899,0.001
320,pivotear,Aleatoria,2000,5,0.001
320,pivotear,Aleatoria,2000,10,0.0016
320,pivotear,Aleatoria,2000,15,0.001
320,pivotear,Aleatoria,2000,20,0.001
320,pivotear,Aleatoria,2000,25,0.001
320,pivotear,Aleatoria,2000,30,0.002
320,pivotear,Aleatoria,2000,35,0.001
320,pivotear,Aleatoria,2000,40,0.001
320,pivotear,Aleatoria,2000,45,0.002
320,pivotear,Aleatoria,2000,50,0.001
320,pivotear,Casi ordenada,2000,0.1,0.002
320,pivotear,Casi ordenada,2000,0.2,0.002
320,pivotear,Casi ordenada,2000,0.3,0.002
320,pivotear,Casi ordenada,2000,0.4,0.003
320,pivotear,Casi ordenada,2000,0.5,0.002
320,pivotear,Casi ordenada,2000,0.6,0.003
320,pivotear,Casi ordenada,2000,0.7,0.002
320,pivotear,Casi ordenada,2000,0.7995,0.003
320,pivotear,Casi ordenada,2000,0.8995,0.002
320,pivotear,Aleatoria,3000,5,0.001
320,pivotear,Aleatoria,3000,10,0.002
320,pivotear,Aleatoria,3000,15,0.001
320,pivotear,Aleatoria,3000,20,0.002
320,pivotear,Aleatoria,3000,25,0.002
320,pivotear,Aleatoria,3000,30,0.002
320,pivotear,Aleatoria,3000,35,0.002
320,pivotear,Aleatoria,3000,40,0.002
320,pivotear,Aleatoria,3000,45,0.002
320,pivotear,Aleatoria,3000,50,0.002
320,pivotear,Casi ordenada,3000,0.1,0.004
320,pivotear,Casi ordenada,3000,0.2,0.004
320,pivotear,Casi ordenada,3000,0.3,0.004
320,pivotear,Casi ordenada,3000,0.4,0.003
320,pivotear,Casi ordenada,3000,0.5,0.004
320,pivotear,Casi ordenada,3000,0.6,0.004
320,pivotear,Casi ordenada,3000,0.7,0.004
320,pivotear,Casi ordenada,3000,0.8,0.004
320,pivotear,Casi ordenada,3000,0.8997,0.004
320,pivotear,Aleatoria,4000,5,0.002
320,pivotear,Aleatoria,4000,10,0.002
320,pivotear,Aleatoria,4000,15,0.002
320,pivotear,Aleatoria,4000,20,0.002
320,pivotear,Aleatoria,4000,25,0.002
320,pivotear,Aleatoria,4000,30,0.002
320,pivotear,Aleatoria,4000,35,0.003
320,pivotear,Aleatoria,4000,40,0.002
320,pivotear,Aleatoria,4000,45,0.003
320,pivotear,Aleatoria,4000,50,0.003
320,pivotear,Casi ordenada,4000,0.1,0.005
320,pivotear,Casi ordenada,4000,0.2,0.004
320,pivotear,Casi ordenada,4000,0.3,0.004
320,pivotear,Casi ordenada,4000,0.4,0.006
320,pivotear,Casi ordenada,4000,0.5,0.005
320,pivotear,Casi ordenada,4000,0.6,0.004
320,pivotear,Casi ordenada,4000,0.7,0.005
320,pivotear,Casi ordenada,4000,0.7997,0.0071
320,pivotear,Casi ordenada,4000,0.8998,0.005
320,pivotear,Aleatoria,5000,5,0.003
320,pivotear,Aleatoria,5000,10,0.004
320,pivotear,Aleatoria,5000,15,0.003
320,pivotear,Aleatoria,5000,20,0.004
320,pivotear,Aleatoria,5000,25,0.005
320,pivotear,Aleatoria,5000,30,0.003
320,pivotear,Aleatoria,5000,35,0.003
320,pivotear,Aleatoria,5000,40,0.003
320,pivotear,Aleatoria,5000,45,0.003
320,pivotear,Aleatoria,5000,50,0.004
320,pivotear,Casi ordenada,5000,0.1,0.0075
320,pivotear,Casi ordenada,5000,0.2,0.007
320,pivotear,Casi ordenada,5000,0.3,0.007
320,pivotear,Casi ordenada,5000,0.4,0.0071
320,pivotear,Casi ordenada,5000,0.5,0.007
320,pivotear,Casi ordenada,5000,0.6,0.007
320,pivotear,Casi ordenada,5000,0.7,0.007
320,pivotear,Casi ordenada,5000,0.7998,0.0071
320,pivotear,Casi ordenada,5000,0.9,0.007
320,pivotear,Aleatoria,6000,5,0.002
320,pivotear,Aleatoria,6000,10,0.003
320,pivotear,Aleatoria,6000,15,0.003
320,pivotear,Aleatoria,6000,20,0.003
320,pivotear,Aleatoria,6000,25,0.0041
320,pivotear,Aleatoria,6000,30,0.003
320,pivotear,Aleatoria,6000,35,0.005
