Semilla,Algoritmo,Tipo de lista,Longitud,Categorías o Proporción desorden,Tiempo
320,pivotear,Aleatoria,1000,5,0.0
320,pivotear,Aleatoria,1000,10,0.001
320,pivotear,Aleatoria,1000,15,0.0
320,pivotear,Aleatoria,1000,20,0.001
320,pivotear,Aleatoria,1000,25,0.001
320,pivotear,Aleatoria,1000,30,0.0
320,pivotear,Aleatoria,1000,35,0.001
320,pivotear,Aleatoria,1000,40,0.001
320,pivotear,Aleatoria,1000,45,0.0
320,pivotear,Aleatoria,1000,50,0.0
320,pivotear,Casi ordenada,1000,0,0.001
320,pivotear,Casi ordenada,1000,0,0.001
320,pivotear,Casi ordenada,1000,0,0.001
320,pivotear,Casi ordenada,1000,0,0.001
320,pivotear,Casi ordenada,1000,0,0.001
320,pivotear,Casi ordenada,1000,1,0.001
320,pivotear,Casi ordenada,1000,1,0.001
320,pivotear,Casi ordenada,1000,1,0.001
320,pivotear,Casi ordenada,1000,1,0.002
320,pivotear,Aleatoria,2000,5,0.0
320,pivotear,Aleatoria,2000,10,0.002
320,pivotear,Aleatoria,2000,15,0.001
320,pivotear,Aleatoria,2000,20,0.001
320,pivotear,Aleatoria,2000,25,0.001
320,pivotear,Aleatoria,2000,30,0.002
320,pivotear,Aleatoria,2000,35,0.001
320,pivotear,Aleatoria,2000,40,0.002
320,pivotear,Aleatoria,2000,45,0.001
320,pivotear,Aleatoria,2000,50,0.001
320,pivotear,Casi ordenada,2000,0,0.002
320,pivotear,Casi ordenada,2000,0,0.002
320,pivotear,Casi ordenada,2000,0,0.003
320,pivotear,Casi ordenada,2000,0,0.002
320,pivotear,Casi ordenada,2000,0,0.002
320,pivotear,Casi ordenada,2000,1,0.003
320,pivotear,Casi ordenada,2000,1,0.002
320,pivotear,Casi ordenada,2000,1,0.002
320,pivotear,Casi ordenada,2000,1,0.002
320,pivotear,Aleatoria,3000,5,0.001
320,pivotear,Aleatoria,3000,10,0.002
320,pivotear,Aleatoria,3000,15,0.001
320,pivotear,Aleatoria,3000,20,0.002
320,pivotear,Aleatoria,3000,25,0.001
320,pivotear,Aleatoria,3000,30,0.001
320,pivotear,Aleatoria,3000,35,0.002
320,pivotear,Aleatoria,3000,40,0.002
320,pivotear,Aleatoria,3000,45,0.002
320,pivotear,Aleatoria,3000,50,0.002
320,pivotear,Casi ordenada,3000,0,0.004
320,pivotear,Casi ordenada,3000,0,0.004
320,pivotear,Casi ordenada,3000,0,0.004
320,pivotear,Casi ordenada,3000,0,0.004
320,pivotear,Casi ordenada,3000,0,0.004
320,pivotear,Casi ordenada,3000,1,0.004
320,pivotear,Casi ordenada,3000,1,0.004
320,pivotear,Casi ordenada,3000,1,0.004
320,pivotear,Casi ordenada,3000,1,0.004
320,pivotear,Aleatoria,4000,5,0.001
320,pivotear,Aleatoria,4000,10,0.002
320,pivotear,Aleatoria,4000,15,0.002
320,pivotear,Aleatoria,4000,20,0.002
320,pivotear,Aleatoria,4000,25,0.003
320,pivotear,Aleatoria,4000,30,0.002
320,pivotear,Aleatoria,4000,35,0.003
320,pivotear,Aleatoria,4000,40,0.002
320,pivotear,Aleatoria,4000,45,0.003
320,pivotear,Aleatoria,4000,50,0.003
320,pivotear,Casi ordenada,4000,0,0.005
320,pivotear,Casi ordenada,4000,0,0.005
320,pivotear,Casi ordenada,4000,0,0.004
320,pivotear,Casi ordenada,4000,0,0.004
320,pivotear,Casi ordenada,4000,0,0.004
320,pivotear,Casi ordenada,4000,1,0.005
320,pivotear,Casi ordenada,4000,1,0.005
320,pivotear,Casi ordenada,4000,1,0.005
320,pivotear,Casi ordenada,4000,1,0.005
320,pivotear,Aleatoria,5000,5,0.002
320,pivotear,Aleatoria,5000,10,0.002
320,pivotear,Aleatoria,5000,15,0.003
320,pivotear,Aleatoria,5000,20,0.003
320,pivotear,Aleatoria,5000,25,0.003
320,pivotear,Aleatoria,5000,30,0.003
320,pivotear,Aleatoria,5000,35,0.003
320,pivotear,Aleatoria,5000,40,0.003
320,pivotear,Aleatoria,5000,45,0.003
320,pivotear,Aleatoria,5000,50,0.004
320,pivotear,Casi ordenada,5000,0,0.0071
320,pivotear,Casi ordenada,5000,0,0.007
320,pivotear,Casi ordenada,5000,0,0.007
320,pivotear,Casi ordenada,5000,0,0.007
320,pivotear,Casi ordenada,5000,0,0.007
320,pivotear,Casi ordenada,5000,1,0.007
320,pivotear,Casi ordenada,5000,1,0.008
320,pivotear,Casi ordenada,5000,1,0.0071
320,pivotear,Casi ordenada,5000,1,0.007
320,pivotear,Aleatoria,6000,5,0.002
320,pivotear,Aleatoria,6000,10,0.003
320,pivotear,Aleatoria,6000,15,0.003
320,pivotear,Aleatoria,6000,20,0.003
320,pivotear,Aleatoria,6000,25,0.003
320,pivotear,Aleatoria,6000,30,0.0031
320,pivotear,Aleatoria,6000,35,0.004
320,pivotear,Aleatoria,6000,40,0.007
320,pivotear,Aleatoria,6000,45,0.005
320,pivotear,Aleatoria,6000,50,0.006
320,pivotear,Casi ordenada,6000,0,0.0092
320,pivotear,Casi ordenada,6000,0,0.008
320,pivotear,Casi ordenada,6000,0,0.008
320,pivotear,Casi ordenada,6000,0,0.008
320,pivotear,Casi ordenada,6000,0,0.008
320,pivotear,Casi ordenada,6000,1,0.008
320,pivotear,Casi ordenada,6000,1,0.008
320,pivotear,Casi ordenada,6000,1,0.008
320,pivotear,Casi ordenada,6000,1,0.008
320,pivotear,Aleatoria,7000,5,0.003
320,pivotear,Aleatoria,7000,10,0.003
320,pivotear,Aleatoria,7000,15,0.003
320,pivotear,Aleatoria,7000,20,0.004
320,pivotear,Aleatoria,7000,25,0.004
